lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngL8,lngL9,lngL10,lngL11,lngL12,intSum
1243,86,20220411,20220411086,,,,,,,,,,,,,0
1244,87,20220412,20220412087,,,,,,,,,,,,,0
1245,88,20220413,20220413088,,,,,,,,,,,,,0
1246,89,20220414,20220414089,,,,,,,,,,,,,0
1247,90,20220415,20220415090,,,,,,,,,,,,,0
1248,91,20220416,20220416091,,,,,,,,,,,,,0
1249,92,20220418,20220418092,,,,,,,,,,,,,0
1250,93,20220419,20220419093,,,,,,,,,,,,,0
1251,94,20220420,20220420094,,,,,,,,,,,,,0
1252,95,20220421,20220421095,,,,,,,,,,,,,0
1253,96,20220422,20220422096,,,,,,,,,,,,,0
1254,97,20220423,20220423097,,,,,,,,,,,,,0
1255,98,20220425,20220425098,,,,,,,,,,,,,0
1256,99,20220426,20220426099,,,,,,,,,,,,,0
1257,100,20220427,20220427100,,,,,,,,,,,,,0
1258,101,20220428,20220428101,,,,,,,,,,,,,0
1259,102,20220429,20220429102,,,,,,,,,,,,,0
1260,103,20220430,20220430103,,,,,,,,,,,,,0
1261,104,20220502,20220502104,,,,,,,,,,,,,0
1262,105,20220503,20220503105,,,,,,,,,,,,,0
1263,106,20220504,20220504106,,,,,,,,,,,,,0
1264,107,20220505,20220505107,,,,,,,,,,,,,0
1265,108,20220506,20220506108,,,,,,,,,,,,,0
1266,109,20220507,20220507109,,,,,,,,,,,,,0
